"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,
"B45G0006","168402","402500","Rijksdriehoeksmeting","45G","Onbekend","10.0","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B45G0006",,"L1998-07-9223","1","1","0.0","0.3","2.9472899436950684","2.2960000038146973","142.8000030517578",".11726000159978867","20.399999618530273","3.809999942779541",".6123600006103516",".29499998688697815",".8339200019836426",".024620000272989273","< 0",".44016000628471375","3.99399995803833","5.690999984741211",".14510999619960785","14.329999923706055","24.76799964904785","214","90.09349822998047","28.267000198364258","5.300000190734863",".0832500010728836","< 0","15.399999618530273","11.66100025177002","20.297000885009766","213.3990020751953"
"B45G0006",,"L1998-07-9224","1","1","0.3","2.5","1.4834599494934082","< 0","101","< 0","13.699999809265137","3.2790000438690186",".1951500028371811","< 0",".5140900015830994",".003000000026077032","< 0",".24313999712467194","2.690000057220459","5.125999927520752",".009399999864399433","4.7220001220703125","14.20199966430664","< 0","95.61712646484375","14.843999862670898","4.139999866485596",".021700000390410423","< 0","< 0","8.62600040435791","5.723999977111816","64.06800079345703"
"B45G0006",,"L1998-07-9225","1","1","2.5","3.3","1.3409099578857422",".18299999833106995","90.19999694824219","< 0","21.200000762939453","3.1619999408721924",".23571999371051788","< 0",".45831000804901123",".00431999983265996","< 0",".20622999966144562","3.390000104904175","5.091000080108643",".010029999539256096","4.547999858856201","13.140000343322754","< 0","96.05180358886719","13.83899974822998","4.265999794006348",".04924999922513962","< 0","2.5999999046325684","9.53600025177002","6.5289998054504395","239.79600524902344"
"B45G0006",,"L1998-07-9226","1","1","3.3","6.0","5.712200164794922","5.546000003814697","201.60000610351562",".12723000347614288","50","7.993000030517578","1.4471700191497803","4.339000225067139","1.2081199884414673",".011780000291764736",".3177900016307831",".7186200022697449","8.199999809265137","25.48699951171875",".09057000279426575","11.805000305175781","41.875","644.7000122070312","86.04419708251953","48.00400161743164","9.737000465393066",".28637999296188354","< 0","32.400001525878906","28.05500030517578","29.354999542236328","350.5710144042969"
"B45G0006",,"L1998-07-9227","1","1","6.0","10.5","1.4073200225830078",".5419999957084656","96.5999984741211","< 0","22.200000762939453","3.061000108718872",".25995999574661255","< 0",".468860000371933",".003719999920576811","< 0",".18842999637126923","2.8889999389648438","5.752999782562256",".013050000183284283","4.90500020980835","12.126999855041504","< 0","95.73851776123047","15.484000205993652","6.689000129699707",".06143999844789505",".1379999965429306",".4000000059604645","11.291999816894531","7.632999897003174","253.67100524902344"
"B45G0006",,"L1998-07-9228","1","1","10.5","11.5","4.278810024261475","2.0799999237060547","179.8000030517578",".5671700239181519","38.79999923706055","4.691999912261963","1.2808599472045898","1.61899995803833","1.0050699710845947",".013000000268220901",".32416000962257385",".5256900191307068","7.0269999504089355","11.911999702453613",".060440000146627426","9.807000160217285","32.36399841308594","457.3999938964844","88.09464263916016","39.72800064086914","7.927000045776367",".21338999271392822","< 0","18.600000381469727","18.62700080871582","19.93400001525879","351.2669982910156"
"B45G0006",,"L1998-07-9229","1","1","11.5","12.5","9.691720008850098","5.361999988555908","273.5",".2201099991798401","67.30000305175781","11.98799991607666","2.2381699085235596","8.16100025177002","1.9297000169754028",".014150000177323818",".5872399806976318",".49028000235557556","13.269000053405762","29.975000381469727",".06891000270843506","13.824000358581543","72.93000030517578","315.3999938964844","78.82228088378906","52.150001525878906","11.192999839782715",".48669999837875366","< 0","56.400001525878906","24.384000778198242","47.547000885009766","392.8340148925781"
"B45G0006",,"L1998-07-9230","1","1","12.5","17.0","1.7257499694824219",".9919999837875366","103","< 0","20.799999237060547","3.563999891281128",".36967000365257263","< 0",".5324400067329407",".0037299999967217445","< 0",".18871000409126282","3.434999942779541","7.448999881744385",".012179999612271786","3.869999885559082","15.211000442504883","< 0","95.12883758544922","15.897000312805176","4.306000232696533",".06473000347614288",".8460000157356262","5.800000190734863","10.092000007629395","9.180999755859375","168.3179931640625"
"B45G0006",,"L1998-07-9231","1","1","17.0","18.0","1.0589300394058228",".32499998807907104","78.19999694824219","< 0","12.699999809265137","2.828000068664551",".1808999925851822","< 0",".3720700144767761",".0023499999660998583","< 0",".11883000284433365","2.5280001163482666","5.8429999351501465",".00827999971807003","4.776000022888184","10.597999572753906","< 0","96.26976776123047","10.5","5.122000217437744",".013140000402927399","< 0","< 0","9.0649995803833","6.633999824523926","52.62900161743164"
"B45G0006",,"L1998-07-9232","1","1","18.0","22.0",".8859099745750427","< 0","75","< 0","13.399999618530273","1.777999997138977",".1509300023317337","< 0",".31575000286102295",".002400000113993883","< 0",".1042800024151802","1.1540000438690186","5.760000228881836",".007930000312626362","5.14300012588501","8.897000312805176","< 0","96.68477630615234","9.145999908447266","3.4679999351501465",".011099999770522118","< 0","2.200000047683716","9.760000228881836","6.357999801635742","53.55500030517578"
"B45G0006",,"L1998-07-9233","1","1","22.0","25.5",".7471200227737427",".2160000056028366","67.9000015258789","< 0","8.399999618530273","2.816999912261963",".14545999467372894","< 0",".25211000442504883",".0024300001095980406","< 0",".09376999735832214","1.468999981880188","6.315999984741211",".007790000177919865","4.572999954223633","6.2270002365112305","< 0","97.07097625732422","8.307999610900879","3.552000045776367",".004550000187009573","< 0","< 0","9.050000190734863","7.439000129699707","38.683998107910156"
"B45G0006",,"L1998-07-9234","1","1","25.5","26.8","2.214790105819702","1.253000020980835","148.89999389648438","< 0","14.699999809265137","3.6410000324249268",".43198999762535095","< 0",".8292800188064575",".0040699997916817665","< 0",".2107899934053421","2.565000057220459","7.90500020980835",".018319999799132347","8.199999809265137","28.261999130249023","< 0","94.31014251708984","22.304000854492188","7.460999965667725",".053619999438524246",".07800000160932541","4","10.909000396728516","12.156999588012695","115.1729965209961"
"B45G0006",,"L1998-07-9235","1","1","26.8","28.5","1.9692599773406982","1.0299999713897705","144","< 0","13.800000190734863","4.00600004196167",".34005001187324524","< 0",".780210018157959",".0034199999645352364","< 0",".18088999390602112","2.5399999618530273","7.11899995803833",".014870000071823597","8.5600004196167","26.969999313354492","< 0","95.1237564086914","20.910999298095703","2.4260001182556152",".039500001817941666","< 0","3.200000047683716","11.345000267028809","11.935999870300293","87.12300109863281"
"B45G0006",,"L1998-07-9236","1","1","28.5","30.4","1.8728599548339844",".8610000014305115","157.10000610351562","< 0","17.799999237060547","3.0329999923706055",".3049899935722351","< 0",".7942900061607361",".003120000008493662","< 0",".18111999332904816","2.3399999141693115","7.5370001792907715",".015699999406933784","6.877999782562256","25.64900016784668","< 0","95.12522888183594","21.15999984741211","7.046999931335449",".029920000582933426","< 0","1.2999999523162842","12.343000411987305","11.454999923706055","63.80400085449219"
"B45G0006",,"L1998-07-9237","1","1","30.4","32.3","3.206890106201172","3.2239999771118164","199.1999969482422","< 0","18.100000381469727","4.556000232696533",".5992000102996826",".6119999885559082","1.2044899463653564",".004430000204592943","< 0",".2875800132751465","3.946000099182129","8.96399974822998",".023840000852942467","9.769000053405762","40.28300094604492","177","92.27374267578125","31.106000900268555","4.678999900817871",".07349999994039536","< 0","7.400000095367432","13.355999946594238","14.097999572753906","102.58699798583984"
