"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000055547","IMBRO/A","2025-04-10T18:20:15+02:00","1992-12-08T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"waterstofcarbonaat","374","HCO3","1992-12-08","251.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-12-08","5.31","mg/l",,,"<","onbeslist"
"sulfaat","1508","SO4","1992-12-08","102.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1992-12-08","35.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1992-12-08","1000.0","ug/l",,,"<","goedgekeurd"
"Zuurgraad","1398","pH","1992-12-08","8.0","1",,,,"onbeslist"
"Geleidendheid","3548","GELDHD","1992-12-08","61.0","mS/m",,,,"onbeslist"
,,,,,,,,,
