"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033300","IMBRO/A","2023-01-13T19:34:19+01:00","1994-04-28T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","132.4","mS/m","goedgekeurd",,,,
"Temperatuur","1522","T","12.9","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1994-04-28","13.49","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1994-04-28","61.936","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1994-04-28","53.682","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1994-04-28","1.271","ug/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1994-04-28","0.062","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1994-04-28","245.068","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1994-04-28","482.786","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1994-04-28","28.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1994-04-28","3.754","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1994-04-28","27.811","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1994-04-28","99.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1994-04-28","3.937","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1994-04-28","46.233","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","1994-04-28","0.207","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1994-04-28","6.539","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1994-04-28","203.25","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1994-04-28","0.889","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1994-04-28","27.415","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1994-04-28","0.045","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
