nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
2.7,1.4,18.8,7.8,GAR000000013851,2016-06-29 12:00:00+02:00
0.05,0.75,13.8,5.25,GAR000000013852,2012-05-14 12:00:00+02:00
0.05,0.86,16.7,5.77,GAR000000013853,2013-07-31 12:00:00+02:00
0.05,0.98,15.4,5.84,GAR000000013854,2014-07-24 12:00:00+02:00
0.05,1.0,15.2,5.87,GAR000000013855,2015-07-16 12:00:00+02:00
0.05,0.72,14.6,6.71,GAR000000013856,2016-06-29 12:00:00+02:00
0.05,0.33,14.0,5.73,GAR000000013858,2012-05-14 12:00:00+02:00
0.05,0.55,16.0,5.73,GAR000000013859,2013-07-31 12:00:00+02:00
0.05,0.49,15.3,5.77,GAR000000013860,2014-07-24 12:00:00+02:00
0.05,0.66,15.4,5.78,GAR000000013861,2015-07-16 12:00:00+02:00
0.05,0.3,14.5,6.47,GAR000000013862,2016-06-29 12:00:00+02:00
0.05,0.48,13.4,5.77,GAR000000050909,2019-11-07 12:00:00+02:00
0.05,0.48,14.5,5.86,GAR000000051007,2019-02-07 12:00:00+02:00
