"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000057092","IMBRO/A","2025-04-10T20:40:53+02:00","2010-01-13T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","8.6","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.2","1","goedgekeurd",,,,
"Redoxpotentiaal","1456","REDPTTAL","39.36","mV","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"bentazon","340","bentzn","2010-01-13","0.02","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2010-01-13","5.0","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","2010-01-13","82.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
