"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000053086","IMBRO/A","2025-04-10T14:33:49+02:00","1990-07-13T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chroom","517","Cr","1990-07-13","0.8","ug/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1990-07-13","8.9","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1990-07-13","0.42","ug/l",,,,"goedgekeurd"
"arseen","310","As","1990-07-13","0.1","ug/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1990-07-13","0.18","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1990-07-13","0.88","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1990-07-13","706.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1990-07-13","2280.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1990-07-13","4.03","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1990-07-13","270.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1990-07-13","17780.0","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1990-07-13","17.4","ug/l",,,,"goedgekeurd"
"kwik","1097","Hg","1990-07-13","0.05","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1990-07-13","2.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1990-07-13","4.5","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1990-07-13","20.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1990-07-13","6200.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1990-07-13","1075.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1990-07-13","6.96","1",,,,"goedgekeurd"
"kalium","920","K","1990-07-13","353.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1990-07-13","10750.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1990-07-13","3098.0","mS/m",,,,"goedgekeurd"
"calcium","447","Ca","1990-07-13","513.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
