nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
11.418,,11.6,7.07,GAR000000038078,1998-08-20 13:00:00+02:00
15.411,,10.6,7.07,GAR000000038085,1996-03-12 12:00:00+01:00
16.21,,10.7,6.98,GAR000000038092,1997-07-15 13:00:00+02:00
16.116,,10.0,6.92,GAR000000038093,2011-03-01 12:00:00+01:00
9.933,,11.6,7.08,GAR000000038094,1999-07-28 13:00:00+02:00
38.14,,9.2,7.12,GAR000000038095,2003-04-15 13:00:00+02:00
20.921,,10.0,6.87,GAR000000038096,2009-04-06 13:00:00+02:00
13.273,,11.8,6.98,GAR000000038097,2013-12-08 13:00:00+02:00
8.366,,12.9,6.84,GAR000000038100,2015-07-28 13:00:00+02:00
9.016,,,6.8575,GAR000000038101,2018-12-06 13:00:00+02:00
8.825,,11.3,6.84,GAR000000038102,2020-11-08 13:00:00+02:00
0.028,,11.2,7.01,GAR000000038110,1996-03-12 12:00:00+01:00
0.05,,11.4,6.58,GAR000000038120,2010-06-23 13:00:00+02:00
0.07,,10.7,7.1,GAR000000038123,2014-06-08 13:00:00+02:00
0.783,,11.9,6.95,GAR000000038130,2018-12-06 13:00:00+02:00
34.688,,13.2,6.92,GAR000000043504,2022-12-10 13:00:00+02:00
13.525,,11.6,6.93,GAR000000043829,2022-03-28 13:00:00+02:00
