"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000037284","IMBRO/A","2023-01-16T14:12:42+01:00","1997-07-09T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","57.4","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","44.41","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","11.6","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.16","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1997-07-09","13.49","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1997-07-09","0.15","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1997-07-09","41.611","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1997-07-09","50.906","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1997-07-09","1.394","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1997-07-09","1.398","ug/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1997-07-09","0.062","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1997-07-09","97.117","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1997-07-09","205.907","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1997-07-09","11.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1997-07-09","1.251","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1997-07-09","17.503","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1997-07-09","16.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1997-07-09","0.014","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1997-07-09","20.024","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1997-07-09","37.022","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1997-07-09","32.695","ug/l",,,,"goedgekeurd"
"boor","386","B","1997-07-09","7.567","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1997-07-09","58.525","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1997-07-09","12.189","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1997-07-09","0.304","ug/l",,,,"goedgekeurd"
,,,,,,,,,
