"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000005172","IMBRO/A","2022-12-02T21:14:05+01:00","1958-08-26T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"natrium","1262","Na","1958-08-26","36.9","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1958-08-26","32400.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1958-08-26","8.6","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1958-08-26","169.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1958-08-26","3.65","mg/l",,,,"goedgekeurd"
,,,,,,,,,
