"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000003870","IMBRO/A","2022-12-02T19:11:31+01:00","1970-06-22T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","128.0","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ijzer","879","Fe","1970-06-22","2500.0","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1970-06-22","31.5","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1970-06-22","13.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1970-06-22","12.8","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1970-06-22","12.0","mg/l",,,,"onbeslist"
"magnesium","1125","Mg","1970-06-22","6.6","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1970-06-22","0.006","mg/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1970-06-22","0.07","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1970-06-22","0.0045","mg/l",,,"<","goedgekeurd"
"fosfaat","1334","PO4","1970-06-22","0.05","mg/l",,,,"goedgekeurd"
,,,,,,,,,
