"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000004413","IMBRO/A","2022-12-02T19:44:57+01:00","1998-10-29T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","865.0","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","12.0","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"sulfaat","1508","SO4","1998-10-29","5.0","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1998-10-29","860.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1998-10-29","0.11","mg/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","1998-10-29","0.37","mg/l",,,,"goedgekeurd"
"kalium","920","K","1998-10-29","27.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1998-10-29","22.56","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1998-10-29","1400.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1998-10-29","260.0","ug/l",,,,"onbeslist"
"magnesium","1125","Mg","1998-10-29","80.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1998-10-29","0.16","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1998-10-29","13.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1998-10-29","140.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1998-10-29","3600.0","ug/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1998-10-29","0.006","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
