Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000011585,GAR000000004697,2,2018-11-12T11:00:00+01:00,0.05,130.0,0.16,17.1,6.7,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004698,1,2003-01-22T11:00:00+01:00,0.11,200.0,,,,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004829,1,1994-11-14T11:00:00+01:00,0.01,270.0,,,,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004830,1,1996-10-30T11:00:00+01:00,0.01,26.0,,11.0,6.75,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004831,1,1998-09-02T12:00:00+02:00,,,0.5,11.9,6.74,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004832,1,2006-06-07T12:00:00+02:00,0.04,190.0,,13.1,7.5,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004833,1,2015-10-23T12:00:00+02:00,0.05,130.0,,18.9,6.5,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004834,1,2018-11-12T11:00:00+01:00,0.05,210.0,0.17,16.2,6.6,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004835,2,1994-11-14T11:00:00+01:00,0.01,47.0,,,,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004836,2,1996-10-30T11:00:00+01:00,0.01,420.0,,11.0,6.7,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004837,2,2000-01-01T11:00:00+01:00,,,,,,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004838,2,2006-06-07T12:00:00+02:00,0.01,150.0,,11.6,7.05,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004839,3,1994-11-14T11:00:00+01:00,0.01,23.0,,,,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004840,3,1996-10-30T11:00:00+01:00,0.01,175.0,,11.0,6.95,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004841,3,2003-01-22T11:00:00+01:00,0.11,43.0,,,,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004842,3,2006-06-07T12:00:00+02:00,0.01,46.0,,12.5,7.31,POINT (5.752740082 52.715875301)
GMW000000011585,GAR000000004843,3,2015-10-23T12:00:00+02:00,0.05,56.0,,18.8,6.8,POINT (5.752740082 52.715875301)
