"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012449","IMBRO/A","2023-01-09T10:13:41+01:00","1996-09-18T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","10.5","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","50.7","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","4.63","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"kalium","920","K","1996-09-18","4.1","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1996-09-18","0.06","mg/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1996-09-18","0.03","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-09-18","63.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1996-09-18","63.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1996-09-18","12.02","mg/l",,,,"goedgekeurd"
,,,,,,,,,
