Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000015174,GAR000000005516,1,1996-11-22T11:00:00+01:00,,,,12.1,,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012883,1,1996-09-18T12:00:00+02:00,0.03,347.0,,13.5,7.3,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012884,1,1999-01-26T11:00:00+01:00,0.03,32.0,,9.3,7.9,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012885,1,2001-11-26T11:00:00+01:00,0.04,550.0,,11.7,7.6,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012886,1,2002-11-20T11:00:00+01:00,0.04,290.0,,,7.7,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012887,1,2003-11-24T11:00:00+01:00,0.04,210.0,,,7.6,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012888,1,2004-11-11T11:00:00+01:00,0.04,250.0,,10.1,7.3,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012889,1,2018-10-19T12:00:00+02:00,0.05,110.0,0.01,13.6,7.3,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012890,2,1999-01-26T11:00:00+01:00,0.03,4000.0,,10.7,7.2,POINT (5.089553436 52.302746643)
GMW000000015174,GAR000000012891,2,2018-10-19T12:00:00+02:00,0.05,140.0,0.01,13.6,7.2,POINT (5.089553436 52.302746643)
GMW000000015188,GAR000000012579,1,2005-02-03T11:00:00+01:00,1.12,24.0,,10.3,6.0,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012580,1,2006-04-20T12:00:00+02:00,1.0,30.0,,11.2,6.4,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012581,1,2009-07-09T12:00:00+02:00,0.06,19.0,7.55,10.8,5.5,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012582,1,2011-01-26T11:00:00+01:00,0.2,29.28,8.63,10.1,5.9,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012583,1,2012-07-24T12:00:00+02:00,0.44,39.79,7.43,11.0,6.38,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012584,1,2016-01-29T11:00:00+01:00,0.05,33.0,8.73,11.5,6.5,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012585,1,2018-11-21T11:00:00+01:00,1.1,27.0,9.73,8.2,5.8,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012586,2,2005-02-03T11:00:00+01:00,0.18,16.0,,10.1,8.2,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012587,2,2009-07-09T12:00:00+02:00,0.12,9.3,6.8,10.8,7.6,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012588,2,2011-01-26T11:00:00+01:00,0.2,8.81,10.86,10.1,7.44,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012589,2,2012-07-24T12:00:00+02:00,0.17,10.39,9.04,11.1,7.5,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012590,2,2016-01-29T11:00:00+01:00,0.05,12.0,8.75,11.1,6.5,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000012591,2,2018-11-21T11:00:00+01:00,0.21,11.0,10.6,10.3,7.2,POINT (5.177463174 52.249691921)
GMW000000015188,GAR000000051579,1,2021-06-28T12:00:00+02:00,3.74,14.04,,20.1,5.91,POINT (5.177463174 52.249691921)
GMW000000015299,GAR000000005517,1,1996-11-22T11:00:00+01:00,,,,10.7,,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000005518,2,1996-11-22T11:00:00+01:00,,,,10.0,,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000005519,3,1996-11-22T11:00:00+01:00,,,,10.0,,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012449,1,1996-09-18T12:00:00+02:00,12.02,63.0,,10.5,4.63,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012450,1,1999-01-25T11:00:00+01:00,10.7,52.0,,9.8,4.5,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012451,1,2001-11-15T11:00:00+01:00,1.42,15.0,,11.2,5.3,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012452,1,2002-11-19T11:00:00+01:00,2.7,19.0,,,5.2,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012453,1,2003-11-27T11:00:00+01:00,1.71,22.0,,,6.0,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012454,1,2004-11-11T11:00:00+01:00,7.67,20.0,,10.1,5.9,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012455,1,2006-04-06T12:00:00+02:00,6.7,12.0,,7.5,5.6,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012456,1,2009-06-22T12:00:00+02:00,1.6,13.0,0.23,10.0,6.2,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012457,1,2018-10-31T11:00:00+01:00,1.7,12.0,0.12,11.4,5.6,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012458,2,1996-09-18T12:00:00+02:00,3.47,71.0,,9.6,4.03,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012459,2,1999-01-25T11:00:00+01:00,5.4,44.0,,10.1,4.4,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012460,2,2003-11-27T11:00:00+01:00,1.37,36.0,,,4.7,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012461,2,2004-11-11T11:00:00+01:00,1.55,29.0,,10.1,5.1,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012462,2,2009-06-22T12:00:00+02:00,2.0,16.0,0.19,10.3,4.4,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012463,2,2018-10-31T11:00:00+01:00,1.2,21.0,0.34,10.9,5.0,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012464,3,1999-01-25T11:00:00+01:00,1.83,43.0,,9.7,7.0,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012465,3,2009-06-22T12:00:00+02:00,8.0,21.0,0.49,10.1,6.6,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012466,3,2018-10-31T11:00:00+01:00,1.2,14.0,0.01,11.6,6.9,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012467,4,1996-09-18T12:00:00+02:00,0.03,15.0,,9.6,8.15,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012468,4,1999-01-25T11:00:00+01:00,0.03,28.0,,9.8,7.9,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012469,4,2006-04-06T12:00:00+02:00,0.2,21.0,,7.3,8.6,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012470,4,2009-06-22T12:00:00+02:00,0.05,18.0,0.12,10.2,6.9,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012471,4,2018-11-01T11:00:00+01:00,0.05,25.0,0.05,17.4,7.9,POINT (5.139769485 52.25246812)
GMW000000015299,GAR000000012948,3,1996-09-18T12:00:00+02:00,0.03,39.0,,9.5,6.6,POINT (5.139769485 52.25246812)
GMW000000015300,GAR000000012892,1,1991-11-21T11:00:00+01:00,0.3,9.0,,,8.04,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012893,1,1992-03-18T11:00:00+01:00,1.2,20.0,,9.9,7.58,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012894,1,1993-12-16T11:00:00+01:00,0.85,16.0,,10.5,7.44,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012895,1,1994-10-05T11:00:00+01:00,1.95,12.0,,10.0,7.32,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012896,1,1995-10-19T11:00:00+01:00,0.91,11.0,,9.7,6.35,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012897,1,1996-12-11T11:00:00+01:00,1.02,20.5,,8.7,7.33,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012898,1,1999-01-25T11:00:00+01:00,0.35,14.0,,10.7,7.5,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012899,1,2001-11-15T11:00:00+01:00,0.41,16.0,,7.7,7.3,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012900,1,2002-11-20T11:00:00+01:00,0.63,15.0,,,7.6,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012901,1,2003-11-26T11:00:00+01:00,1.01,19.0,,,7.9,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012902,1,2004-11-23T11:00:00+01:00,1.35,18.0,,10.4,7.7,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012903,1,2012-07-16T12:00:00+02:00,3.39,15.87,8.18,10.9,8.0,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012904,1,2018-10-22T12:00:00+02:00,3.1,17.0,910.0,15.5,7.8,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012905,2,1991-11-21T11:00:00+01:00,1.11,9.0,,,7.91,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012906,2,1992-03-18T11:00:00+01:00,0.21,10.0,,9.6,7.88,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012907,2,1993-12-16T11:00:00+01:00,0.72,11.0,,9.8,8.12,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012908,2,1994-10-05T11:00:00+01:00,0.64,11.0,,9.6,8.1,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012909,2,1995-10-19T11:00:00+01:00,0.21,12.0,,10.5,8.11,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012910,2,1996-12-11T11:00:00+01:00,0.23,14.7,,9.2,8.12,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012911,2,1999-01-25T11:00:00+01:00,1.85,16.0,,10.6,7.5,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012912,2,2001-11-15T11:00:00+01:00,3.5,20.0,,7.8,7.6,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012913,2,2002-11-20T11:00:00+01:00,3.1,16.0,,,8.0,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012914,2,2003-11-26T11:00:00+01:00,4.06,19.0,,,8.0,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012915,2,2004-11-23T11:00:00+01:00,4.06,18.0,,10.3,7.9,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012916,2,2011-01-17T11:00:00+01:00,4.59,17.31,3.81,10.2,7.6,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012917,2,2012-07-16T12:00:00+02:00,6.47,18.78,6.25,10.7,7.3,POINT (5.210919951 52.2839808)
GMW000000015372,GAR000000005512,1,1996-11-22T11:00:00+01:00,,,,10.9,,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000005513,2,1996-11-22T11:00:00+01:00,,,,10.8,,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000005514,3,1996-11-22T11:00:00+01:00,,,,10.8,,POINT (5.140085702 52.285202116)
