Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000003980,GAR000000000544,1,2003-01-01T11:00:00+01:00,0.08,48.05,0.1,15.3,7.35,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000545,1,2007-09-01T12:00:00+02:00,0.1,39.0,0.11,13.5,7.62,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000546,1,2008-09-16T12:00:00+02:00,0.1,33.0,0.17,20.6,7.0,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000547,1,2010-03-19T11:00:00+01:00,0.05,36.6,1.02,20.8,7.65,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000548,1,2012-03-08T11:00:00+01:00,1.93,20.0,,20.2,7.64,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000549,1,2015-06-19T12:00:00+02:00,0.05,60.0,,16.2,7.2,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000550,1,2018-05-25T12:00:00+02:00,0.05,34.0,0.01,17.3,7.3,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000551,2,2003-01-01T11:00:00+01:00,5.97,33.62,0.1,12.0,7.47,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000552,2,2007-09-01T12:00:00+02:00,4.4,30.0,0.3,11.9,7.48,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000553,2,2008-09-16T12:00:00+02:00,4.0,29.0,,21.5,7.2,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000554,2,2010-03-19T11:00:00+01:00,8.49,22.8,0.78,20.8,7.63,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000555,2,2012-03-13T11:00:00+01:00,1.49,20.0,,21.0,7.46,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000556,2,2015-06-19T12:00:00+02:00,2.7,22.0,,16.2,7.3,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000000557,2,2018-06-01T12:00:00+02:00,5.1,29.0,0.01,13.9,7.6,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000050811,1,2021-05-12T12:00:00+02:00,0.05,54.1,,19.8,7.51,POINT (5.295321071 52.033349247)
GMW000000003980,GAR000000050880,2,2021-05-12T12:00:00+02:00,2.01,19.29,,19.5,7.4,POINT (5.295321071 52.033349247)
GMW000000003991,GAR000000000832,1,2003-01-01T11:00:00+01:00,9.26,16.69,6.85,11.1,6.68,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000000833,1,2004-01-01T11:00:00+01:00,8.87,15.78,,10.0,6.77,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000000834,1,2007-09-01T12:00:00+02:00,8.1,15.0,6.35,10.5,6.61,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000000835,1,2010-03-17T11:00:00+01:00,7.06,13.9,5.57,22.0,6.77,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000000836,1,2012-03-12T11:00:00+01:00,5.74,14.0,,21.0,7.31,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000000837,1,2015-06-16T12:00:00+02:00,5.2,13.0,7.93,19.5,7.0,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000000838,1,2018-05-18T12:00:00+02:00,5.3,15.0,8.54,15.5,6.6,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000000861,1,2008-09-16T12:00:00+02:00,7.6,15.0,7.37,20.7,7.0,POINT (5.47623846 51.994701851)
GMW000000003991,GAR000000050830,1,2021-04-30T12:00:00+02:00,4.48,13.6,,19.9,6.91,POINT (5.47623846 51.994701851)
GMW000000003998,GAR000000000676,1,2007-09-01T12:00:00+02:00,13.0,18.0,0.17,13.2,7.37,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000677,1,2008-09-16T12:00:00+02:00,8.3,24.0,0.15,20.8,7.1,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000678,1,2015-06-19T12:00:00+02:00,11.0,46.0,,16.1,7.2,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000679,2,2007-09-01T12:00:00+02:00,32.0,30.0,0.14,11.3,7.57,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000680,2,2008-09-16T12:00:00+02:00,32.0,31.0,0.01,21.0,7.2,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000681,2,2010-03-19T11:00:00+01:00,29.78,31.0,0.61,20.8,7.75,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000682,2,2012-03-20T11:00:00+01:00,25.54,25.0,,20.7,7.58,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000683,2,2015-06-19T12:00:00+02:00,21.0,30.0,,16.2,7.1,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000684,2,2018-05-23T12:00:00+02:00,4.3,12.0,0.01,18.6,7.4,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000685,3,2010-03-19T11:00:00+01:00,7.61,37.7,0.66,20.8,7.31,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000686,3,2012-03-28T12:00:00+02:00,20.18,32.0,,20.6,7.24,POINT (5.364037964 52.02159019)
GMW000000003998,GAR000000000687,3,2018-05-24T12:00:00+02:00,21.0,24.0,0.01,15.7,7.2,POINT (5.364037964 52.02159019)
GMW000000004007,GAR000000000001,1,2003-01-01T11:00:00+01:00,0.12,34.33,1.05,13.3,7.1,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001106,1,2007-09-01T12:00:00+02:00,0.1,26.0,0.16,13.2,7.06,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001107,1,2008-09-16T12:00:00+02:00,0.1,26.0,0.26,20.0,7.0,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001108,1,2010-03-19T11:00:00+01:00,0.05,9.5,0.97,20.8,6.97,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001109,1,2015-06-12T12:00:00+02:00,0.05,20.0,,19.9,6.9,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001110,1,2018-06-07T12:00:00+02:00,0.05,37.0,0.01,12.7,7.1,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001111,3,2003-01-01T11:00:00+01:00,0.08,12.8,0.1,11.1,6.95,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001112,3,2008-09-16T12:00:00+02:00,0.1,13.0,0.01,20.4,7.1,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001113,3,2010-03-19T11:00:00+01:00,0.09,12.5,0.81,20.8,6.76,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001114,3,2015-06-12T12:00:00+02:00,0.05,11.0,,19.8,7.4,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001115,3,2018-06-07T12:00:00+02:00,0.05,14.0,0.01,12.7,6.9,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000001160,3,2007-09-01T12:00:00+02:00,0.1,13.0,0.34,11.3,7.12,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000050875,1,2021-05-12T12:00:00+02:00,0.05,27.59,,20.2,7.21,POINT (5.256004092 52.048097385)
GMW000000004007,GAR000000050883,3,2021-05-10T12:00:00+02:00,0.05,16.77,,20.3,6.89,POINT (5.256004092 52.048097385)
GMW000000004015,GAR000000000358,1,2007-12-01T11:00:00+01:00,,,,,,POINT (5.375099625 52.062289959)
GMW000000004055,GAR000000000859,1,2007-12-01T11:00:00+01:00,,,,,,POINT (5.565413265 51.956310696)
GMW000000004055,GAR000000000860,1,2010-03-23T11:00:00+01:00,0.05,20.9,1.32,21.1,7.23,POINT (5.565413265 51.956310696)
GMW000000004061,GAR000000000297,1,2007-12-01T11:00:00+01:00,,,,,,POINT (5.281159075 52.217177894)
GMW000000004093,GAR000000000751,1,2003-01-01T11:00:00+01:00,0.12,18.37,0.25,12.5,7.77,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000752,1,2007-09-01T12:00:00+02:00,0.1,17.0,0.2,13.1,8.07,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000753,1,2008-09-16T12:00:00+02:00,0.1,17.0,0.26,20.8,7.7,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000754,1,2010-03-19T11:00:00+01:00,0.05,16.8,0.7,20.8,7.81,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000755,1,2012-03-12T11:00:00+01:00,0.05,17.0,,20.8,7.4,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000756,1,2015-06-18T12:00:00+02:00,0.05,17.0,,13.6,6.6,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000757,1,2018-05-23T12:00:00+02:00,0.05,20.0,0.01,19.3,7.7,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000758,2,2003-01-01T11:00:00+01:00,0.0022,8.41,0.35,11.4,7.07,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000759,2,2007-09-01T12:00:00+02:00,0.1,9.0,0.28,11.6,7.41,POINT (5.380227056 52.001980041)
GMW000000004093,GAR000000000760,2,2008-09-16T12:00:00+02:00,0.1,7.8,0.07,20.7,7.4,POINT (5.380227056 52.001980041)
GMW000000004104,GAR000000000778,1,2003-01-01T11:00:00+01:00,24.57,14.65,9.45,11.5,6.56,POINT (5.600793941 51.962453539)
GMW000000004104,GAR000000000779,1,2004-01-01T11:00:00+01:00,26.4,16.28,,10.7,6.62,POINT (5.600793941 51.962453539)
GMW000000004104,GAR000000000780,1,2007-12-01T11:00:00+01:00,35.0,19.0,5.44,11.5,6.5,POINT (5.600793941 51.962453539)
