"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000054948","IMBRO/A","2025-04-10T17:29:50+02:00","2010-01-07T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","9.8","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.1","1","goedgekeurd",,,,
"Redoxpotentiaal","1456","REDPTTAL","14.12","mV","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","2010-01-07","40.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2010-01-07","5.0","ug/l",,,"<","goedgekeurd"
"bentazon","340","bentzn","2010-01-07","0.06","ug/l",,,,"goedgekeurd"
,,,,,,,,,
