"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000053240","IMBRO/A","2025-04-10T14:49:01+02:00","1988-10-26T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1988-10-26","115.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1988-10-26","20.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1988-10-26","1.7","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1988-10-26","10.0","ug/l",,,,"goedgekeurd"
"kwik","1097","Hg","1988-10-26","0.05","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1988-10-26","1.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","1988-10-26","0.5","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","1988-10-26","0.1","ug/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1988-10-26","741.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1988-10-26","1.06","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1988-10-26","300.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1988-10-26","1500.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1988-10-26","43.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1988-10-26","94.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1988-10-26","39.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1988-10-26","90.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1988-10-26","8.39","1",,,,"goedgekeurd"
"arseen","310","As","1988-10-26","0.5","ug/l",,,,"goedgekeurd"
,,,,,,,,,
