Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000004883,GAR000000051470,1,2022-03-30T12:00:00+02:00,0.05,1914.94,,20.2,7.99,POINT (3.503718395 51.394823929)
GMW000000004883,GAR000000056068,1,2008-01-22T11:00:00+01:00,,1832.0,,,,POINT (3.503718395 51.394823929)
GMW000000004883,GAR000000056158,1,2016-02-29T11:00:00+01:00,0.26,1600.0,0.37,14.9,7.5,POINT (3.503718395 51.394823929)
GMW000000004883,GAR000000056302,1,1995-11-15T11:00:00+01:00,0.23,1977.0,,15.7,7.93,POINT (3.503718395 51.394823929)
GMW000000004883,GAR000000056604,1,2017-11-24T11:00:00+01:00,0.05,2600.0,,6.9,7.8,POINT (3.503718395 51.394823929)
GMW000000004893,GAR000000056244,1,2008-01-14T11:00:00+01:00,,837.0,,,,POINT (3.457986331 51.382954271)
GMW000000038677,GAR000000035660,3,1999-04-14T13:00:00+02:00,0.224,12709.818,,10.8,6.76,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035718,1,2007-10-03T13:00:00+02:00,0.01,53.21,0.0,12.1,7.3,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035798,1,1981-04-14T13:00:00+02:00,0.1,84.0,,,7.81,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035799,1,1987-05-07T13:00:00+02:00,0.3,43.9,,,7.37,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035800,3,2001-05-03T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035807,1,1982-11-09T12:00:00+01:00,0.1,33.0,,,7.4,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035808,1,1985-05-14T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035809,1,2013-05-07T13:00:00+02:00,0.07,27.87,0.3,12.3,7.5,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035851,3,2003-03-18T12:00:00+01:00,0.028,13411.231,,10.7,6.84,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035855,1,1984-03-27T13:00:00+02:00,0.1,34.0,,,7.82,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035856,1,1986-05-21T13:00:00+02:00,0.72,53.5,,,7.55,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035857,1,1988-04-15T13:00:00+02:00,0.28,46.9,,,7.41,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035859,1,1989-05-08T13:00:00+02:00,0.28,40.4,,,7.3,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035863,3,1990-04-11T13:00:00+02:00,0.28,13835.34,,,6.8,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035864,1,1990-04-11T13:00:00+02:00,0.28,62.3,,,7.3,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035865,2,1990-04-11T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035868,3,1987-05-07T13:00:00+02:00,0.3,14500.0,,,6.9,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035873,3,2015-05-19T13:00:00+02:00,0.07,13136.61,0.0,10.8,6.92,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035874,1,1992-04-28T13:00:00+02:00,0.08,37.08,,,7.47,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035875,1,1995-01-25T12:00:00+01:00,0.055,46.351,,10.8,7.21,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035878,1,1993-03-25T12:00:00+01:00,0.092,40.47,,10.5,7.13,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035884,1,1994-02-02T12:00:00+01:00,0.048,46.436,,10.9,7.27,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035885,1,1996-02-28T12:00:00+01:00,0.126,46.05,,10.7,7.23,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035886,1,2019-03-06T12:00:00+01:00,0.07,26.519,0.4,11.7,7.57,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035887,2,1981-04-14T13:00:00+02:00,0.1,88.0,,,8.09,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035888,2,1991-04-23T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035889,1,1997-05-13T13:00:00+02:00,0.378,46.581,,10.0,7.15,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035890,1,1999-04-14T13:00:00+02:00,0.098,56.897,,10.6,7.16,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035891,1,2001-05-03T13:00:00+02:00,0.266,45.979,,10.9,7.17,POINT (3.456846607 51.305272265)
