"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,
"B45H0116","176350","400360","Rijksdriehoeksmeting","45H","Onbekend","17.6","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Ctot (%)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B45H0116",,"L1998-06-9001","1","1","0.0","1.0","1.9182100296020508","1.0099999904632568","116.0999984741211","< 0","10.899999618530273","","2.9769999980926514",".3921099901199341","< 0",".633899986743927",".004279999993741512","< 0",".27296000719070435","3.8480000495910645","6.539000034332275",".016030000522732735","5.21999979019165","18.29400062561035","< 0","94.33296203613281","18.283000946044922","8.241999626159668",".05398999899625778","< 0","6.099999904632568","10.809000015258789","8.79699993133545","189.95399475097656"
"B45H0116",,"L1998-06-9001","2","1","0.0","1.0","","","","","",".8426","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9002","1","1","1.0","2.0","1.2703399658203125",".0010000000474974513","75.5","< 0","6.800000190734863","","2.6500000953674316",".21083000302314758","< 0",".3736500144004822",".0024399999529123306","< 0",".10508999973535538","2.9059998989105225","5.664000034332275",".008249999955296516","4.882999897003174","11.444999694824219","< 0","95.77290344238281","10.168000221252441","4.331999778747559",".022029999643564224","< 0",".699999988079071","9.27299976348877","5.396999835968018","72.1259994506836"
"B45H0116",,"L1998-06-9002","2","1","1.0","2.0","","","","","","1.1324","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9003","1","1","2.0","3.0",".9196000099182129",".19499999284744263","70.5","< 0","12","","2.122999906539917",".13368000090122223","< 0",".29732999205589294",".0022899999748915434","< 0",".0838100016117096","2.1640000343322754","5.581999778747559",".0075599998235702515","4.579999923706055","8.854999542236328","< 0","96.12647247314453","8.935999870300293","6.322000026702881",".02906000055372715","< 0",".20000000298023224","10.128999710083008","4.718999862670898","159.66600036621094"
"B45H0116",,"L1998-06-9003","2","1","2.0","3.0","","","","","","1.0986","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9004","1","1","3.0","4.0",".9782800078392029","< 0","82.9000015258789","< 0","5.300000190734863","","2.9820001125335693",".09437000006437302","< 0",".3893600106239319",".0021899999119341373","< 0",".0859299972653389","2.0390000343322754","6.11299991607666",".0065100002102553844","5.416999816894531","11.932999610900879","< 0","96.62267303466797","11.451000213623047","5.3480000495910645",".00839999970048666","< 0",".8999999761581421","10.357999801635742","4.809999942779541","39.34299850463867"
"B45H0116",,"L1998-06-9004","2","1","3.0","4.0","","","","","","1.1139","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9005","1","1","4.0","5.0","1.319540023803711","< 0","116.30000305175781","< 0","6.5","","2.427000045776367",".12308000028133392","< 0",".5408200025558472",".0022299999836832285","< 0",".09675999730825424","1.8760000467300415","6.573999881744385",".007699999958276749","6.435999870300293","17.163999557495117","< 0","96.0709228515625","15.456000328063965","9.289999961853027",".007579999975860119",".5360000133514404","< 0","9.277000427246094","4.855000019073486","36.422000885009766"
"B45H0116",,"L1998-06-9005","2","1","4.0","5.0","","","","","",".54193","","","","","","","","","","","","","","","","","","","","","",""
