"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,
"B46C0131","180830","400200","Rijksdriehoeksmeting","46C","Onbekend","22.3","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Ctot (%)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B46C0131",,"L1998-06-9153","1","1","0.0","1.0","1.9116400480270386","< 0","107.9000015258789","< 0","14.300000190734863","","6.242000102996826",".28593000769615173","< 0",".6239200234413147",".0053400001488626","< 0",".31672999262809753","2.5320000648498535","5.164999961853027",".10506000369787216","9.019000053405762","17.018999099731445","2","93.76714324951172","18.541000366210938","6.110000133514404",".05322999879717827","< 0","2.4000000953674316","10.246000289916992","11.994999885559082","129.34100341796875"
"B46C0131",,"L1998-06-9153","2","1","0.0","1.0","","","","","","4.6424999237","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9154","1","1","1.0","2.0","1.290120005607605",".11800000071525574","90.9000015258789","< 0","10.199999809265137","","3.740000009536743",".27963998913764954","< 0",".4566099941730499",".004430000204592943","< 0",".18312999606132507","2.809000015258789","5.644999980926514",".028440000489354134","6.59499979019165","13.144000053405762","< 0","95.34089660644531","13.487000465393066","7.836999893188477",".03531999886035919",".7749999761581421","1","9.635000228881836","14.92300033569336","145.2310028076172"
"B46C0131",,"L1998-06-9154","2","1","1.0","2.0","","","","","","2.0870099068","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9155","1","1","2.0","2.0",".6559600234031677","< 0","52.29999923706055","< 0","8.199999809265137","","2.507999897003174",".08653999865055084","< 0",".2094700038433075",".0020000000949949026","< 0",".0709099993109703","2.0260000228881836","4.63700008392334",".005960000213235617","2.7330000400543213","5.547999858856201","< 0","96.88844299316406","6.611999988555908","2.937000036239624",".00482999999076128","< 0","< 0","9.706999778747559","4.770999908447266","40.027000427246094"
"B46C0131",,"L1998-06-9155","2","1","2.0","2.0","","","","","","1.4849699736","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9156","1","1","3.0","4.0",".5131499767303467","< 0","39.900001525878906","< 0","7.300000190734863","","1.6399999856948853",".07041999697685242","< 0",".15953999757766724",".0022100000642240047","< 0",".06029000133275986","2","4.2779998779296875",".003980000037699938","4.381999969482422","3.5989999771118164","< 0","97.37711334228516","5.586999893188477","3.8299999237060547",".006180000025779009","< 0","< 0","9.529000282287598","5.059999942779541","56.06399917602539"
"B46C0131",,"L1998-06-9156","2","1","3.0","4.0","","","","","","1.4477100372","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9157","1","1","4.0","5.0",".7503899931907654",".7570000290870667","69.19999694824219","< 0","4.5","","2.052999973297119",".07700999826192856","< 0",".28488001227378845",".0019199999514967203","< 0",".07266999781131744","1.9739999771118164","5.0879998207092285",".005260000005364418","2.4519999027252197","7.670000076293945","< 0","96.67022705078125","9.074000358581543","4.020999908447266",".0033499998971819878","< 0","< 0","9.086999893188477","4.554999828338623","37.448001861572266"
"B46C0131",,"L1998-06-9157","2","1","4.0","5.0","","","","","","1.4816800356","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9158","1","1","5.0","6.0","1.4714900255203247","< 0","130.8000030517578","< 0","5.199999809265137","","3.325000047683716",".13610999286174774","< 0",".6794899702072144",".0022899999748915434","< 0",".12020999938249588","2.4210000038146973","4.940999984741211",".00774999987334013","7.460999965667725","22.847000122070312","< 0","96.01786041259766","17.184999465942383","3.6449999809265137",".008849999867379665","< 0","2","10.107999801635742","6.215000152587891","33.28900146484375"
"B46C0131",,"L1998-06-9158","2","1","5.0","6.0","","","","","",".76838999987","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9159","1","1","6.0","7.0","1.6695599555969238","< 0","155.89999389648438","< 0","4.5","","3.009999990463257",".1256600022315979","< 0",".7714700102806091",".0023799999617040157","< 0",".1309400051832199","2.555000066757202","5.706999778747559",".009619999676942825","5.704999923706055","22.54199981689453","< 0","95.65574645996094","19.625999450683594","4.514999866485596",".01278000045567751","< 0","< 0","11.142999649047852","6.328999996185303","35.87300109863281"
"B46C0131",,"L1998-06-9159","2","1","6.0","7.0","","","","","",".78374999762","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9160","1","1","7.0","8.3","1.2882699966430664","< 0","123.4000015258789","< 0","3.5999999046325684","","1.8079999685287476",".09533999860286713","< 0",".6002200245857239",".0018500000005587935","< 0",".09386000037193298","1.062000036239624","5.110000133514404",".008179999887943268","7.059999942779541","19.023000717163086","< 0","96.58199310302734","15.89900016784668","6.422999858856201",".00686000008136034","< 0","< 0","9.560999870300293","5.426000118255615","33.987998962402344"
"B46C0131",,"L1998-06-9160","2","1","7.0","8.3","","","","","","7.3757400513","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9161","1","1","9.6","10.0","1.6983699798583984","1.5770000219345093","137.5","< 0","12.300000190734863","","4.138999938964844",".2440200001001358","< 0",".8290299773216248",".0039900001138448715","< 0",".1715099960565567","2.2209999561309814","8.470000267028809",".014430000446736813","6.85699987411499","25.801000595092773","< 0","95.66512298583984","21.75200080871582","8.553999900817871",".011049999855458736","< 0","1.7999999523162842","10.392000198364258","8.967000007629395","36.06999969482422"
"B46C0131",,"L1998-06-9161","2","1","9.6","10.0","","","","","","1.3848400116","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9162","1","1","10.0","11.0","1.563599944114685",".5609999895095825","157.5","< 0","3.799999952316284","","3.125",".0881199985742569","< 0",".8604599833488464",".002360000042244792","< 0",".15369999408721924","1.9980000257492065","5.943999767303467",".010590000078082085","6.499000072479248","26.424999237060547","< 0","96.02996063232422","20.48900032043457","9.623000144958496",".00215000007301569","< 0","< 0","10.795999526977539","8.697999954223633","33.28799819946289"
"B46C0131",,"L1998-06-9162","2","1","10.0","11.0","","","","","","2.3394999504","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9163","1","1","11.0","12.0","2.119489908218384",".1420000046491623","192.3000030517578","< 0","5.400000095367432","","3.177999973297119",".15626999735832214","< 0","1.0733400583267212",".00267999991774559","< 0",".2192700058221817","2.2160000801086426","6.632999897003174",".011710000224411488","7.709000110626221","33.534000396728516","< 0","94.53096771240234","25.53499984741211","3.003999948501587",".011760000139474869","< 0","< 0","10.607000350952148","9.928000450134277","32.91999816894531"
"B46C0131",,"L1998-06-9163","2","1","11.0","12.0","","","","","","1.7359999418","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9164","1","1","12.0","13.0","7.8406901359558105","2.38700008392334","228.3000030517578",".003329999977722764","46.70000076293945","","12.817999839782715","1.4560999870300293","6.258999824523926","1.8234800100326538",".00901000015437603",".4672299921512604",".3343600034713745","6.6579999923706055","21.243000030517578",".02508999966084957","14.755999565124512","71.822998046875","35.900001525878906","84.46098327636719","41.56999969482422","8.72700023651123",".22599999606609344","< 0","39.29999923706055","18.89299964904785","73.38400268554688","92.62100219726562"
"B46C0131",,"L1998-06-9164","2","1","12.0","13.0","","","","","","4.2527799606","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9165","1","1","14.0","15.0","3.1610701084136963","4.004000186920166","187.10000610351562","< 0","15.300000190734863","","2.9560000896453857",".5751799941062927",".7279999852180481","1.3467199802398682",".009039999917149544","< 0",".4342699944972992","4.369999885559082","9.902999877929688",".028610000386834145","7.6519999504089355","41.145999908447266","< 0","92.7763671875","33.40700149536133","7.241000175476074",".0759200006723404",".3059999942779541","3.9000000953674316","13.895999908447266","12.371000289916992","93.48899841308594"
"B46C0131",,"L1998-06-9165","2","1","14.0","15.0","","","","","","7.1591000557","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9166","1","1","15.0","16.0","1.7420599460601807","1.6030000448226929","159.8000030517578","< 0","6.599999904632568","","2.5220000743865967",".13585999608039856","< 0",".9475899934768677",".002529999939724803","< 0",".18498000502586365","1.5160000324249268","5.942999839782715",".013000000268220901","9.12399959564209","29.910999298095703","< 0","95.56977081298828","21.90399932861328","9.029000282287598",".006850000005215406","< 0","1.600000023841858","10.295000076293945","5.998000144958496","31.67300033569336"
"B46C0131",,"L1998-06-9166","2","1","15.0","16.0","","","","","","1.7712299824","","","","","","","","","","","","","","","","","","","","","",""
