"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,
"B51F0250","170484","398068","Rijksdriehoeksmeting","51F","Gemeten, diff. GPS, 1 - 5m","12.4","Onbekend",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (%)","Ba (mg/kg)","Ca (mg/kg)","Ce (mg/kg)","Cr (mg/kg)","Cu (mg/kg)","Fe (mg/kg)","K (mg/kg)","Li (mg/kg)","Mg (mg/kg)","Mn (mg/kg)","Na (mg/kg)","Ni (mg/kg)","P (mg/kg)","S (mg/kg)","Sr (mg/kg)","TGA(105-450) (%)","TGA(450-550) (%)","Ti (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B51F0250",,"L1991-08-0139","1","1","0.0","1.0","0.866543","123.2706","540.9771","8.6085","6.1968","4.0363","1437.5311","5028.2688","7.4244","44.1678","25.5072","1724.4067","< 16","67.8127","< 0","21.6887","","","537.4433","< 6","2.5457","12.9177","22.5931"
"B51F0250",,"L1991-08-0139","2","1","0.0","1.0","","","","","","","","","","","","","","","","","0.89","< 0","","","","",""
"B51F0250",,"L1991-08-0140","1","1","1.0","1.5","0.902488","135.5168","713.5068","12.2499","7.8035","< 4","2010.2518","5661.544","8.1785","276.2121","52.8746","1275.6862","< 16","< 50","< 0","29.0319","","","898.6142","< 6","3.1428","7.7499","35.5533"
"B51F0250",,"L1991-08-0140","2","1","1.0","1.5","","","","","","","","","","","","","","","","","0.12","< 0","","","","",""
"B51F0250",,"L1991-08-0141","1","1","1.5","3.0","0.890525","109.9647","636.9555","11.3638","7.9092","4.0182","2173.0035","4679.7013","9.6728","538.3145","27.4548","1071.0471","< 16","67.2025","< 0","24.8602","","","724.8872","6.4728","3.3637","12.6729","26.0003"
"B51F0250",,"L1991-08-0141","2","1","1.5","3.0","","","","","","","","","","","","","","","","","0.05","< 0","","","","",""
"B51F0250",,"L1991-08-0142","1","1","3.0","4.5","0.99062","165.1471","875.556","15.6002","9.8546","< 4","2640.0264","4907.2309","10.5637","654.7702","40.8731","1305.5403","< 16","88.6554","< 0","29.0603","","","996.89","8.5637","5.0364","12.2001","42.2186"
"B51F0250",,"L1991-08-0142","2","1","3.0","4.5","","","","","","","","","","","","","","","","","0.07","0.02","","","","",""
"B51F0250",,"L1991-08-0143","1","1","4.5","6.0","2.014557","168.6603","15623.7083","31.7934","29.5291","7.8407","7979.8594","7883.3004","15.7938","3932.013","145.7181","3763.1843","< 16","151.4069","< 0","68.4147","","","1877.1197","23.8778","12.1635","< 4","78.0519"
"B51F0250",,"L1991-08-0143","2","1","4.5","6.0","","","","","","","","","","","","","","","","","0.47","3.03","","","","",""
"B51F0250",,"L1991-08-0144","1","1","6.0","7.5","2.674177","230.5329","17470.51","43.345","35.9982","8.737","10490.83","9408.358","20.4381","4276.9095","197.8806","4571.447","< 16","217.6477","< 0","68.7217","","","2494.233","32.2528","15.3798","29.4536","86.5727"
"B51F0250",,"L1991-08-0144","2","1","6.0","7.5","","","","","","","","","","","","","","","","","0.76","2.5","","","","",""
"B51F0250",,"L1991-08-0145","1","1","7.5","9.0","1.871613","177.2874","13183.103","30.6196","25.3298","6.4814","7243.2829","7246.1534","15.5499","3106.6836","141.5614","3314.7875","< 16","143.7098","< 0","55.0828","","","1849.9753","21.5745","10.9227","19.5958","69.201"
"B51F0250",,"L1991-08-0145","2","1","7.5","9.0","","","","","","","","","","","","","","","","","0.41","1.94","","","","",""
"B51F0250",,"L1991-08-0146","1","1","9.0","10.5","1.448096","164.5446","8926.0781","26.0742","20.1526","5.425","5500.9749","6958.9159","12.4927","2188.0004","105.4048","2476.6125","< 16","97.6112","< 0","51.7473","","","1466.0212","15.1097","8.2139","< 4","62.8074"
"B51F0250",,"L1991-08-0146","2","1","9.0","10.5","","","","","","","","","","","","","","","","","0.24","1.31","","","","",""
"B51F0250",,"L1991-08-0147","1","1","10.5","12.0","0.625237","97.1828","2093.6637","6.6001","< 6","< 4","1857.2186","3821.82","8.9092","517.4415","34.364","317.3304","< 16","55.0542","< 0","23.6002","","","472.8247","< 6","2.4","6.1637","20.0911"
"B51F0250",,"L1991-08-0147","2","1","10.5","12.0","","","","","","","","","","","","","","","","","0.09","0.39","","","","",""
"B51F0250",,"L1991-08-0148","1","1","12.0","13.5","0.720043","117.5147","1781.6298","7.6722","6.224","< 4","2075.9371","4456.7813","8.4308","516.2645","34.551","463.6795","< 16","< 50","< 0","25.565","","","581.9441","< 6","2.6379","9.7756","20.1547"
"B51F0250",,"L1991-08-0148","2","1","12.0","13.5","","","","","","","","","","","","","","","","","0.09","0.21","","","","",""
"B51F0250",,"L1991-08-0149","1","1","13.5","15.0","0.711219","113.0711","1969.3737","11.2282","6.6492","< 4","2224.4915","4256.7534","8.0352","539.7762","37.1757","453.8808","< 16","< 50","< 0","25.2037","","","627.4103","< 6","2.9825","8.4036","23.8598"
"B51F0250",,"L1991-08-0149","2","1","13.5","15.0","","","","","","","","","","","","","","","","","0.16","0.23","","","","",""
"B51F0250",,"L1991-08-0150","1","1","15.0","16.5","0.754466","125.6033","1747.958","11.6295","10.092","< 4","2461.742","4213.425","8.2092","460.0201","36.6157","781.8374","< 16","< 50","< 0","20.9342","","","708.3775","6.1776","3.5489","9.4381","28.2816"
"B51F0250",,"L1991-08-0150","2","1","15.0","16.5","","","","","","","","","","","","","","","","","0.15","0.24","","","","",""
"B51F0250",,"L1991-08-0151","1","1","16.5","18.0","1.155955","148.5917","2043.167","20.7097","16.6601","4.9288","4334.579","5123.878","11.1524","825.1032","50.5558","1273.145","< 16","< 50","< 0","27.5522","","","1178.656","12.8563","6.4711","14.8604","53.2512"
"B51F0250",,"L1991-08-0151","2","1","16.5","18.0","","","","","","","","","","","","","","","","","","0.07","","","","",""
"B51F0250",,"L1991-08-0152","1","1","18.0","19.5","1.129692","149.763","1654.736","19.5622","15.1528","4.7662","4155.849","5358.213","11.2338","729.9262","46.1893","1159.199","< 16","< 50","< 0","26.6698","","","1246.111","13.1159","6.4323","13.4196","57.6446"
"B51F0250",,"L1991-08-0152","2","1","18.0","19.5","","","","","","","","","","","","","","","","","0.16","0.05","","","","",""
"B51F0250",,"L1991-08-0153","1","1","19.5","21.0","0.741209","123.5491","910.1662","11.0833","8.131","< 4","2423.5474","4648.2717","9.2526","358.6403","24.7395","729.8977","< 16","< 50","< 0","21.9852","","","710.7493","6.4817","3.513","< 4","32.9035"
"B51F0250",,"L1991-08-0153","2","1","19.5","21.0","","","","","","","","","","","","","","","","","0.08","0.06","","","","",""
"B51F0250",,"L1991-08-0154","1","1","21.0","22.5","0.948583","147.231","849.0682","15.0535","8.8749","4.375","2605.3542","6243.5215","10.1428","554.6384","26.5534","509.5852","< 16","57.8076","< 0","28.7766","","","787.1419","7.6071","3.8928","10.7142","37.0533"
"B51F0250",,"L1991-08-0154","2","1","21.0","22.5","","","","","","","","","","","","","","","","","","0.03","","","","",""
"B51F0250",,"L1991-08-0155","1","1","22.5","24.0","0.702009","121.7669","507.5397","10.1071","< 6","< 4","1483.4524","5422.2959","10.8392","344.1937","13.5892","222.8018","< 16","< 50","< 0","22.7659","","","320.1957","< 6","2.3393","9.0535","14.9642"
"B51F0250",,"L1991-08-0155","2","1","22.5","24.0","","","","","","","","","","","","","","","","","0.03","0.01","","","","",""
"B51F0250",,"L1991-08-0156","1","1","24.0","25.0","0.829823","149.4749","486.6144","9.5088","< 6","< 4","1834.2077","6450.4727","12.1931","391.7049","16.737","295.2129","< 16","50.3583","< 0","26.6511","","","354.2607","< 6","2.3509","10.4562","16.4914"
"B51F0250",,"L1991-08-0156","2","1","24.0","25.0","","","","","","","","","","","","","","","","","","< 0","","","","",""
