"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B51F0474","176510","397918","Rijksdriehoeksmeting","51F","GPS (Global Positioning System)","17.0","gemeten, overige methoden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al2O3 (%)","As (mg/kg)","Ba (mg/kg)","CaO (%)","Cr (mg/kg)","Cu (mg/kg)","Fe2O3 (%)","Ga (mg/kg)","K2O (%)","La (mg/kg)","MgO (%)","MnO (%)","Na2O (%)","Nb (mg/kg)","Nd (mg/kg)","Ni (mg/kg)","P2O5 (%)","Pb (mg/kg)","Rb (mg/kg)","S (%)","Sc (mg/kg)","SiO2 (%)","Sn (mg/kg)","Sr (mg/kg)","TGA(105-1000) (%)","TGA(105-450) (%)","TGA(20-105) (%)","TGA(450-550) (%)","TGA(550-800) (%)","TGA(800-1000) (%)","Th (mg/kg)","TiO2 (%)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B51F0474","01-08-2004","L2004-08-1617","1","1","0.75","0.78","2.27978","1.12746","167.2","0.1025","21.9","0.23034","0.12427","3.26787","0.74307","6.52095","0.00953","0.00534","0.424693555555556","3.46336","6.8","< 0","0.11441","7.13708","22.56081","< 0","1.6","88.56872","2.06935","28.56214","","","","","","","2.39636","0.14332","1.03043","8.1","5.75645","9.85862","348.09973"
"B51F0474","01-08-2004","L2004-08-1617","2","1","0.75","0.78","","","","","","","","","","","","","","","","","","","","","","","","","0.89483","0.7096","0.1249","0.0842","0.06976","0.03127","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1618","1","1","1.3","1.33","1.33099","0.90115","106.3","0.00433","11.7","0.48331","0.0258","2.03101","0.38523","6.32641","0.00602","0.00047","0.102613555555556","2.28406","5.2","0.33403","0.00758","3.44317","13.63402","< 0","1.6","89.94915","0.50411","12.83768","","","","","","","0.35823","0.07101","< 0","10.8","3.48001","1.25213","112.36824"
"B51F0474","01-08-2004","L2004-08-1618","2","1","1.3","1.33","","","","","","","","","","","","","","","","","","","","","","","","","0.35746","0.1558","0.02061","0.1146","0.05957","0.02749","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1619","1","1","1.97","2.0","5.07295","2.36851","232.5","0.18876","36.2","3.75511","0.73209","5.61565","1.15142","15.94624","0.23096","0.00853","0.724223555555556","6.82279","15.2","9.10385","0.03728","7.45992","39.42805","< 0","3.3","84.97735","0.12849","43.02219","","","","","","","4.58251","0.30366","2.16015","26.6","13.51974","18.4638","313.72458"
"B51F0474","01-08-2004","L2004-08-1619","2","1","1.97","2.0","","","","","","","","","","","","","","","","","","","","","","","","","1.018","0.4511","0.2827","0.3078","0.189","0.0701","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1620","1","1","2.8","2.83","3.1344","1.75266","183.9","0.03043","30.4","3.37279","0.41592","3.33456","0.88659","10.85295","0.07767","0.00397","0.186773555555556","5.24477","11.8","4.44313","0.00721","8.31497","28.59093","< 0","3.1","87.66761","< 0","25.41172","","","","","","","2.21754","0.21544","1.17534","18.5","7.70178","16.12213","257.41782"
"B51F0474","01-08-2004","L2004-08-1620","2","1","2.8","2.83","","","","","","","","","","","","","","","","","","","","","","","","","0.64237","0.2244","0.1815","0.2503","0.1228","0.04487","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1621","1","1","4.35","4.38","1.83338","1.95078","180.9","0.00892","13.8","2.65743","0.11707","2.68263","0.71121","7.36556","0.01963","0.00126","0.147333555555556","2.34158","6.1","5.64824","0.00542","6.68174","24.56571","< 0","0.6","90.17567","1.49251","21.68333","","","","","","","1.58878","0.07653","1.19564","8.6","5.29861","7.84424","71.9697"
"B51F0474","01-08-2004","L2004-08-1621","2","1","4.35","4.38","","","","","","","","","","","","","","","","","","","","","","","","","0.41656","0.1256","0.003063","0.1562","0.09801","0.03675","","","","","","",""
