,Well_ID,BRO-ID,Filter,Date,Nitrate,geometry,Year,organicmattercontent_5,organicmattercontent_4,organicmattercontent_1
0,GMW000000003980,GAR000000000548,1,2012-03-08 10:00:00+00:00,1.93,POINT (5.295321071 52.033349247),2012,,0.3,5.5
1,GMW000000003980,GAR000000000549,1,2015-06-19 10:00:00+00:00,0.05,POINT (5.295321071 52.033349247),2015,,0.3,5.5
2,GMW000000003980,GAR000000000550,1,2018-05-25 10:00:00+00:00,0.05,POINT (5.295321071 52.033349247),2018,,0.3,5.5
3,GMW000000003991,GAR000000000836,1,2012-03-12 10:00:00+00:00,5.74,POINT (5.47623846 51.994701851),2012,,0.3,4.0
4,GMW000000003991,GAR000000000837,1,2015-06-16 10:00:00+00:00,5.2,POINT (5.47623846 51.994701851),2015,,0.3,4.0
5,GMW000000003991,GAR000000000838,1,2018-05-18 10:00:00+00:00,5.3,POINT (5.47623846 51.994701851),2018,,0.3,4.0
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
6,GMW000000003998,GAR000000000678,1,2015-06-19 10:00:00+00:00,11.0,POINT (5.364037964 52.02159019),2015,0.3,1.7,4.8
7,GMW000000004007,GAR000000001109,1,2015-06-12 10:00:00+00:00,0.05,POINT (5.256004092 52.048097385),2015,0.5,55.0,6.0
8,GMW000000004007,GAR000000001110,1,2018-06-07 10:00:00+00:00,0.05,POINT (5.256004092 52.048097385),2018,0.5,55.0,6.0
9,GMW000000004093,GAR000000000755,1,2012-03-12 10:00:00+00:00,0.05,POINT (5.380227056 52.001980041),2012,,0.5,6.0
10,GMW000000004093,GAR000000000756,1,2015-06-18 10:00:00+00:00,0.05,POINT (5.380227056 52.001980041),2015,,0.5,6.0
11,GMW000000004093,GAR000000000757,1,2018-05-23 10:00:00+00:00,0.05,POINT (5.380227056 52.001980041),2018,,0.5,6.0
12,GMW000000004104,GAR000000000784,1,2012-02-23 10:00:00+00:00,29.37,POINT (5.600793941 51.962453539),2012,,0.3,2.0
13,GMW000000004104,GAR000000000785,1,2015-06-16 10:00:00+00:00,20.0,POINT (5.600793941 51.962453539),2015,,0.3,2.0
14,GMW000000004104,GAR000000000786,1,2018-05-18 10:00:00+00:00,17.0,POINT (5.600793941 51.962453539),2018,,0.3,2.0
15,GMW000000023809,GAR000000000604,1,2012-03-13 10:00:00+00:00,9.93,POINT (5.342468434 52.029062175),2012,,,
16,GMW000000023809,GAR000000000605,1,2015-06-19 10:00:00+00:00,9.0,POINT (5.342468434 52.029062175),2015,,,
17,GMW000000023809,GAR000000000606,1,2018-06-01 10:00:00+00:00,9.9,POINT (5.342468434 52.029062175),2018,,,
18,GMW000000023856,GAR000000000345,1,2012-10-22 10:00:00+00:00,5.11,POINT (5.350769771 52.05249699),2012,,0.2,3.0
19,GMW000000023897,GAR000000000619,1,2012-03-20 10:00:00+00:00,0.05,POINT (5.405838087 51.991049063),2012,,65.0,9.0
20,GMW000000023897,GAR000000000620,1,2015-06-18 10:00:00+00:00,0.05,POINT (5.405838087 51.991049063),2015,,65.0,9.0
21,GMW000000023897,GAR000000000621,1,2018-05-23 10:00:00+00:00,0.05,POINT (5.405838087 51.991049063),2018,,65.0,9.0
22,GMW000000023901,GAR000000000646,1,2012-03-20 10:00:00+00:00,9.28,POINT (5.391427046 52.01540844),2012,,0.2,3.0
23,GMW000000023901,GAR000000000647,1,2015-06-18 10:00:00+00:00,7.2,POINT (5.391427046 52.01540844),2015,,0.2,3.0
24,GMW000000023901,GAR000000000648,1,2018-05-22 10:00:00+00:00,4.2,POINT (5.391427046 52.01540844),2018,,0.2,3.0
25,GMW000000023909,GAR000000000775,1,2012-02-23 10:00:00+00:00,0.05,POINT (5.601761312 51.976104861),2012,,0.4,25.0
26,GMW000000023909,GAR000000000776,1,2015-06-16 10:00:00+00:00,0.05,POINT (5.601761312 51.976104861),2015,,0.4,25.0
27,GMW000000023909,GAR000000000777,1,2018-05-18 10:00:00+00:00,0.05,POINT (5.601761312 51.976104861),2018,,0.4,25.0
28,GMW000000023914,GAR000000000288,1,2012-02-29 10:00:00+00:00,0.05,POINT (5.304228091 52.165830485),2012,,,
